# Constructed from biom file
#OTU ID	5608-A18-1	5608-A18-10	5608-A18-11	5608-A18-12	5608-A18-2	5608-A18-3	5608-A18-4	5608-A18-5	5608-A18-6	5608-A18-7	5608-A18-8	5608-A18-9	5608-BF18-1	5608-BF18-2	5608-BF18-3	5608-Blank	5608-CC18-1	5608-CC18-2	5608-CC18-3	5608-CC18-4	5608-CC18-5	5608-CC18-6	5608-CuC18-1	5608-M18-1	5608-SJ18-1	5608-SJ18-2	5608-SJ18-3
fb67973e8b86b294b3d66e673f1c0979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2856.0	955.0	818.0	19.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9e786fdf4a3f54b77596e81a6ba3ff84	881.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	23.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	448.0	0.0	24.0	190.0	97.0
731514a8fe78344fa7c5394af85f03aa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1303.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
872627363aab05bf57de340057966594	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	24.0	15.0	196.0	0.0	35.0	25.0	0.0	86.0	93.0	134.0	0.0	0.0	0.0	0.0	0.0
30b33c4d8fc8e86bc771dc7cf91ce424	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	32.0	19.0	324.0	0.0	19.0	21.0	0.0	111.0	35.0	52.0	0.0	0.0	0.0	0.0	0.0
767e8925071059abee4f47a3a501919c	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	63.0	289.0	149.0	0.0	0.0	0.0	0.0	0.0
7bbd4d80a2afbd6c3c5001e1ef986c4c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	466.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
943cb7218e0e20b928e8e0a27c12946b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	327.0	0.0	3.0	0.0	10.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
f52295f1c3632adba4717690745322f7	0.0	0.0	0.0	0.0	0.0	23.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0
9deb0b2b0e2931474246bf5979a96b09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	64.0	51.0	53.0	0.0	0.0	0.0	0.0	0.0
252cdbe649d1fff6e0b3517cf723f2ab	27.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	80.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0
