# Constructed from biom file
#OTU ID	5608-A18-1	5608-A18-10	5608-A18-11	5608-A18-12	5608-A18-2	5608-A18-3	5608-A18-4	5608-A18-5	5608-A18-6	5608-A18-7	5608-A18-8	5608-A18-9	5608-BF18-1	5608-BF18-2	5608-BF18-3	5608-Blank	5608-CC18-1	5608-CC18-2	5608-CC18-3	5608-CC18-4	5608-CC18-5	5608-CC18-6	5608-CuC18-1	5608-M18-1	5608-SJ18-1	5608-SJ18-2	5608-SJ18-3
946d5bb6068b7379ad3d9d543b99d355	0.0	0.0	0.0	0.0	0.0	0.0	278.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	89.0	2027.0	1876.0	0.0	1713.0	1330.0	1436.0	0.0	818.0	0.0	0.0	0.0
3b95a9e183db7b960cef04e0389b8195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2876.0	3206.0	2747.0	384.0	0.0	0.0	0.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
7876fdfb313a9ecff5cc61c2185b5228	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	841.0	1350.0	0.0	625.0	382.0	355.0	0.0	0.0	0.0	0.0	0.0
e8928d3103ceff81f07fd971b5c0ca40	2692.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d7158b182111d8ccad3b60517bbe6665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1004.0	917.0	743.0	183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ff1bd8113a59e63cbb44713fe3645ed6	0.0	120.0	205.0	66.0	234.0	65.0	487.0	122.0	104.0	315.0	139.0	191.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	46.0	111.0	222.0	148.0
c83202dd8470c549fc30df2add8a2f3c	0.0	0.0	0.0	0.0	0.0	0.0	203.0	0.0	0.0	0.0	0.0	0.0	36.0	24.0	533.0	64.0	75.0	224.0	0.0	436.0	600.0	361.0	0.0	0.0	0.0	0.0	0.0
92a3cabf483821986568dfd0d58550e2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	363.0	1345.0	702.0	0.0	0.0	0.0	0.0	0.0
4670395e14ed492144c43a8f356f03c3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1471.0	0.0	0.0	212.0	25.0	3.0	9.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
912360e3308962eedd5c3893d434a342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	227.0	313.0	0.0	60.0	47.0	0.0	0.0	1019.0	0.0	0.0	0.0
